키,몸무게,체지방율,성별
1601.0,62.0,32.5,여
1535.0,58.0,32.8,여
1595.0,51.4,21.8,여
1493.0,57.6,39.4,여
1628.0,57.2,27.8,여
1625.0,59.0,24.8,여
1590.0,74.8,36.0,여
1631.0,69.2,28.2,여
1603.0,62.0,36.1,여
1626.0,49.0,25.8,여
1495.0,50.1,34.8,여
1543.0,60.2,34.9,여
1594.0,45.2,26.1,여
1574.0,57.1,30.2,여
1616.0,54.4,26.6,여
1725.0,61.4,25.0,여
1693.0,65.1,29.4,여
1585.0,61.3,33.0,여
1563.0,57.8,32.7,여
1594.0,61.4,35.4,여
